"","Abruzzo","Basilicata","Calabria","Campania","Emilia-Romagna","Friuli Venezia Giulia","Lazio","Liguria","Lombardia","Marche","Molise","Piemonte","Puglia","Sardegna","Sicilia","Toscana","Trentino-Alto Adige","Umbria","Valle d'Aosta","Veneto"
"Abruzzo",0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"Basilicata",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Calabria",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Campania",0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"Emilia-Romagna",0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1
"Friuli Venezia Giulia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Lazio",1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0
"Liguria",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"Lombardia",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
"Marche",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"Molise",1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Piemonte",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"Puglia",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Sardegna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sicilia",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toscana",0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
"Trentino-Alto Adige",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
"Umbria",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
"Valle d'Aosta",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Veneto",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
